seq,2.277,1
seq,5.318,1401
seq,5.324,2801
seq,6.846,4201
seq,6.848,5601
seq,6.858,7001
seq,6.859,8401
seq,8.376,9801
seq,8.402,11201
seq,8.403,12601
seq,8.414,14001
seq,8.416,15401
seq,8.417,16801
seq,8.426,18201
seq,8.427,19601
seq,9.918,21001
seq,9.933,22401
seq,9.939,23801
seq,9.941,25201
seq,9.952,26601
seq,9.963,28001
seq,9.964,29401
seq,9.967,30801
seq,9.968,32201
seq,9.989,33601
seq,9.995,35001
seq,9.996,36401
seq,10.017,37801
seq,10.019,39201
seq,10.022,40601
seq,10.024,42001
seq,11.451,43401
seq,11.475,44801
seq,11.482,46201
seq,11.509,47601
seq,11.521,49001
seq,11.532,50401
seq,11.540,51801
seq,11.541,53201
seq,11.563,54601
seq,11.574,56001
seq,11.576,57401
seq,11.585,58801
ack,3.792,1401
ack,5.324,2801
ack,5.325,4201
ack,6.848,5601
ack,6.858,7001
ack,6.859,8401
ack,6.860,9801
ack,8.402,11201
ack,8.403,12601
ack,8.414,14001
ack,8.416,15401
ack,8.417,16801
ack,8.426,18201
ack,8.427,19601
ack,8.428,21001
ack,9.933,22401
ack,9.939,23801
ack,9.941,25201
ack,9.952,26601
ack,9.963,28001
ack,9.964,29401
ack,9.967,30801
ack,9.968,32201
ack,9.989,33601
ack,9.995,35001
ack,9.996,36401
ack,10.017,37801
ack,10.019,39201
ack,10.022,40601
ack,10.024,42001
ack,10.025,43401
ack,11.458,44801
ack,11.476,46201
ack,11.483,47601
ack,11.521,49001
ack,11.532,50401
ack,11.540,51801
ack,11.541,53201
ack,11.563,54601
ack,11.574,56001
ack,11.576,57401
ack,11.585,58801
ack,11.586,60201
