seq,2.293,1
seq,5.336,1401
seq,5.349,2801
seq,6.853,4201
seq,6.862,5601
seq,6.877,7001
seq,6.878,8401
seq,8.358,9801
seq,8.365,11201
seq,8.366,12601
seq,8.372,14001
seq,8.386,15401
seq,8.388,16801
seq,8.389,18201
seq,8.393,19601
seq,9.868,21001
seq,9.906,22401
seq,9.916,23801
seq,9.928,25201
seq,9.930,26601
seq,9.931,28001
seq,9.951,29401
seq,9.961,30801
seq,9.962,32201
seq,9.963,33601
seq,9.974,35001
seq,9.981,36401
seq,9.982,37801
seq,9.984,39201
seq,9.994,40601
seq,9.995,42001
seq,11.445,43401
seq,11.447,44801
seq,11.457,46201
seq,11.470,47601
seq,11.494,49001
seq,11.506,50401
seq,11.516,51801
seq,11.538,53201
seq,11.539,54601
seq,11.546,56001
seq,11.559,57401
seq,11.566,58801
ack,3.810,1401
ack,5.338,2801
ack,5.350,4201
ack,6.855,5601
ack,6.863,7001
ack,6.878,8401
ack,6.885,9801
ack,8.359,11201
ack,8.366,12601
ack,8.368,14001
ack,8.373,15401
ack,8.388,16801
ack,8.389,18201
ack,8.393,19601
ack,8.396,21001
ack,9.906,22401
ack,9.908,23801
ack,9.928,25201
ack,9.930,26601
ack,9.931,28001
ack,9.951,29401
ack,9.961,30801
ack,9.962,32201
ack,9.963,33601
ack,9.974,35001
ack,9.981,36401
ack,9.982,37801
ack,9.984,39201
ack,9.994,40601
ack,9.995,42001
ack,10.005,43401
ack,11.447,44801
ack,11.457,46201
ack,11.458,47601
ack,11.472,49001
ack,11.506,50401
ack,11.516,51801
ack,11.538,53201
ack,11.539,54601
ack,11.546,56001
ack,11.558,57401
ack,11.566,58801
ack,11.573,60201
