seq,2.300,1
seq,5.324,1401
seq,5.336,2801
seq,6.848,4201
seq,6.849,5601
seq,6.850,7001
seq,6.866,8401
seq,8.364,9801
seq,8.378,11201
seq,8.379,12601
seq,8.390,14001
seq,8.392,15401
seq,8.399,16801
seq,8.406,18201
seq,8.408,19601
seq,9.889,21001
seq,9.918,22401
seq,9.919,23801
seq,9.932,25201
seq,9.937,26601
seq,9.949,28001
seq,9.950,29401
seq,9.960,30801
seq,9.977,32201
seq,9.979,33601
seq,10.002,35001
seq,10.004,36401
seq,10.018,37801
seq,10.019,39201
seq,10.024,40601
seq,10.025,42001
seq,11.412,43401
seq,11.414,44801
seq,11.433,46201
seq,11.457,47601
seq,11.476,49001
seq,11.482,50401
seq,11.493,51801
seq,11.494,53201
seq,11.510,54601
seq,11.522,56001
seq,11.533,57401
seq,11.544,58801
ack,3.817,1401
ack,5.325,2801
ack,5.339,4201
ack,6.849,5601
ack,6.850,7001
ack,6.852,8401
ack,6.867,9801
ack,8.378,11201
ack,8.379,12601
ack,8.390,14001
ack,8.391,15401
ack,8.399,16801
ack,8.406,18201
ack,8.408,19601
ack,8.419,21001
ack,9.890,22401
ack,9.919,23801
ack,9.920,25201
ack,9.937,26601
ack,9.939,28001
ack,9.950,29401
ack,9.951,30801
ack,9.962,32201
ack,9.978,33601
ack,10.002,35001
ack,10.004,36401
ack,10.018,37801
ack,10.019,39201
ack,10.020,40601
ack,10.025,42001
ack,10.027,43401
ack,11.414,44801
ack,11.415,46201
ack,11.435,47601
ack,11.459,49001
ack,11.482,50401
ack,11.483,51801
ack,11.494,53201
ack,11.496,54601
ack,11.511,56001
ack,11.533,57401
ack,11.534,58801
ack,11.546,60201
